ACCE_ABSORB_COST	Custos da combinação: %d
COMMUNITY_DELETE_REQUEST_LIST_FIRST	Remove o jogador dos teus pedidos de amizade primeiro.
COMMUNITY_INVALID_NAME	Não foi possível encontrar este nome ou o nome não existe.
COMMUNITY_INVITE_PARTY	Enviaste um pedido para te juntares ao grupo de %s.
COMMUNITY_LOGIN_MEMBER	%s está online.
COMMUNITY_MEMBER_LEVEL	(Nvl. %d)
COMMUNITY_REGISTER_COMMENT	Enviar
COMMUNITY_REGISTER_COMPLETE	Publicaste uma nova mensagem.
COMMUNITY_REQUESTED_ALREADY	Este jogador já está na tua lista de pedidos.
COMMUNITY_REQUEST_ALARM_AT_LOGIN	Recebeste um pedido de amizade. Consulta a janela da Comunidade.
COMMUNITY_REQUEST_FRIEND	%s enviou-te um pedido de amizade.
COMMUNITY_REQUEST_FRIEND_SUCCESS	Enviaste um pedido de amizade a %s.
COMMUNITY_REQUEST_LIST_OVER_MAX	Não podes enviar um pedido de amizade a %s porque a tua lista de amigos está cheia.
COMMUNITY_TARGET_BLOCKED_YOU	%s bloqueou-te.
COMMUNITY_TARGET_EXIST_REQUEST_LIST	Este jogador já está na tua lista de pedidos.
COMMUNITY_TARGET_MAX_FRIEND_COUNT	A lista de amigos de %s está cheia. Não foi possível enviar o pedido.
COMMUNITY_TARGET_REFUSE_REQUEST	%s rejeitou o teu pedido de amizade.
COMMUNITY_TARGET_REQUEST_FRIEND_BLOCK_MODE	O jogador bloqueou o teu pedido de amizade.
COMMUNITY_TARGET_RUNNING_QUEST	De momento, o jogador não consegue aceitar o teu pedido de amizade.
CRAFT_INTEGRATE_CRAFTING_QUESTION_1	Queres continuar?
CRAFT_INTEGRATE_CRAFTING_QUESTION_2	Tenta melhorar %s %d vezes.
CRAFT_INTEGRATE_CRAFTING_QUESTION_3	Probabilidade de sucesso: %d%%
CRAFT_INTEGRATE_CRAFTING_QUESTION_4	Custo: %s Yang
CRAFT_INTEGRATE_DISMANTLE_ASK_AGAIN_1	Queres mesmo desmantelar este item?
CRAFT_INTEGRATE_DISMANTLE_ASK_AGAIN_2	Não é possível recuperar itens desmantelados.
CRAFT_INTEGRATE_DISMANTLE_ASK_AGAIN_3	Desmantelar: %s, %d
CRAFT_INTEGRATE_DISMANTLE_ASK_AGAIN_4	Resultados: %s, %s
CRAFT_INTEGRATE_DISMANTLE_ASK_ATTR_1	Este item tem 3 ou mais propriedades.
CRAFT_INTEGRATE_DISMANTLE_ASK_ATTR_2	Queres mesmo desmantelar este item e receber Fragmentos de Energia?
CRAFT_INTEGRATE_DISMANTLE_FAIL_ITEM_LIMIT_LEVEL	Só podes desmantelar itens de nível 35 e acima.
CRAFT_INTEGRATE_DISMANTLE_FAIL_NOT_ALLOWED_UI_OPEN	Não é possível fazer isto enquanto há outra ação ativa.
CRAFT_INTEGRATE_DISMANTLE_FAIL_PLAYER_LEVEL_NOT_ENOUGH	Disponível para personagens de nível 35 e acima.
CRAFT_INTEGRATE_DISMANTLE_FAIL_WRONG_BEHAVIOR	Esta ação não é permitida.
CRAFT_INTEGRATE_DISMANTLE_FAIL_WRONG_ITEM	Não é possível desmantelar este item.
CRAFT_INTEGRATE_DISMANTLE_ONLY_INVENTORY	Só podes desmantelar itens que estão no teu inventário.
CRAFT_INTEGRATE_GEM	Gaya
CRAFT_INTEGRATE_GEM_ICON_TOOLTIP	Gaya
CRAFT_INTEGRATE_GEM_RESULT_SLOT_TOOLTIP	GAYA
CRAFT_INTEGRATE_ITEM_COUNT	[%d]
CRAFT_INTEGRATE_ITEM_INFO	%s (%d%%)
CRAFT_INTEGRATE_MAX_BUTTON_TOOLTIP	MÁX
CRAFT_INTEGRATE_MIN_BUTTON_TOOLTIP	MÍN
CRAFT_INTEGRATE_ORE	Minério
CRAFT_INTEGRATE_PET_CANNOT_FEED_CRAFT_OPEN	Não podes usar isto enquanto estás a criar algo.
CRAFT_INTEGRATE_RESULT_GUILD_BUILDING_ACCESS_CHANGED	Só os membros da guild a quem este território pertence podem usar este edifício.
CRAFT_INTEGRATE_RESULT_GUILD_BUILDING_CHANGED	Este edifício está a ser alterado e, por isso, não o podes usar. Verifica novamente.
CRAFT_INTEGRATE_RESULT_GUILD_USE_FEE_CHANGED	Os custos de uso mudaram. Verifica novamente.
CRAFT_INTEGRATE_RESULT_ITEM_INFO	Item recebido: %s x%d
CRAFT_INTEGRATE_RESULT_LACK_GEM	Não tens Gaya suficiente.
CRAFT_INTEGRATE_RESULT_LACK_MATERIAL	Não podes fazer as tentativas que desejas porque não tens materiais suficientes.
CRAFT_INTEGRATE_RESULT_LACK_YANG	Não tens Yang suficiente.
CRAFT_INTEGRATE_RESULT_NO_SPACE	Não há espaço suficiente no teu inventário.
CRAFT_INTEGRATE_RESULT_OVER_GEM_MAX	Já tens a quantidade máxima de Gaya.
CRAFT_INTEGRATE_RESULT_TRY_INFO	Resultados - %s: %d sucessos, %d fracassos
CRAFT_INTEGRATE_RESULT_TRY_INFO_BIG_SUCCESS	Resultados - %s: %d grandes sucessos, %d sucessos, %d fracassos
CRAFT_INTEGRATE_SUCCESS_PCT	Probabilidade de sucesso: %d%%
CRAFT_INTEGRATE_TITLE_CUBE	Criação
CRAFT_INTEGRATE_TITLE_REFINE	Melhoramento
CRAFT_INTEGRATE_TITLE_SMELT	Refinação
CRAFT_INTEGRATE_YANG_ICON_TOOLTIP	Yang
CREATE_ERROR_GM_NAME	Não podes usar ,GM‘ no nome da tua personagem.
CREATE_ERROR_INSULT_NAME	Este nome é inválido.
CREATE_ERROR_LIMIT_LEVEL	A tua personagem tem de ser pelo menos nível 80.
CREATE_ERROR_TIME_LIMIT	Apenas podes criar uma personagem a cada 30 segundos.
CREATE_ERROR_WRONG_STRING	Este nome de personagem não é válido.
CREATE_EXIST_SAME_NAME	Já existe uma personagem com este nome.
CREATE_FAILURE	Não podes criar a personagem.
CREATE_FULL	Não podes criar mais personagens.
CREATE_GM_NAME	GM
CREATE_INPUT_NAME	Insere o nome.
CREATE_PLUS_STAT	Ainda sobram pontos de Atributo.
CUBE_ALCHEMY_BANN_SIGN	Atualmente, não podes fazer nada.
CUBE_CATEGORY_ACCESSORY	Joalharia
CUBE_CATEGORY_ALCHEMY	Runa de Forja
CUBE_CATEGORY_ARMOR	Armaduras
CUBE_CATEGORY_ARMOR_GLOVE	Luvas
CUBE_CATEGORY_BELT	Cintos
CUBE_CATEGORY_ETC	Etc.
CUBE_CATEGORY_EVENT	Evento
CUBE_CATEGORY_JOB	Classe
CUBE_CATEGORY_MAP	Mapas completos
CUBE_CATEGORY_PET	Pet
CUBE_CATEGORY_SETADD_ARMOR	Criar armadura de conjunto
CUBE_CATEGORY_SETADD_HELMET	Criar elmo de conjunto
CUBE_CATEGORY_SETADD_WEAPON	Criar arma de conjunto
CUBE_CATEGORY_WEAPON	Armas
CUBE_CATEGOR_SKILL_BOOK	Livro de Habilidades
CUBE_DO_NOT_SAME_ALCHEMY_KINDS	Usa uma Runa de Forja do tipo correto.
CUBE_FAIL	A criação falhou.
CUBE_LIST_TEXT_ITEM_INFO	%s ( %d%% )
CUBE_LIST_TEXT_MAKE_QUANTITY	[%d]
CUBE_MAKE_CONFIRM_QUESTION_1	Pelo menos um dos itens usados é altamente valioso (tem mais de %d bónus).
CUBE_MAKE_CONFIRM_QUESTION_2	Queres mesmo continuar?
CUBE_NOT_ENOUGHT_ALCHEMY_COUNT	Não tens %s, por isso não podes criar isso agora.
CUBE_NOT_ENOUGH_GEM	Não tens Gaya suficiente.
CUBE_NOT_ENOUGH_GOLD	Yang insuficiente para criação.
CUBE_NOT_ENOUGH_MATERIAL	Material insuficiente para a criação.
CUBE_PLEASE_SELECT	Não foram seleccionados itens.
CUBE_SELECT_ITEM_FIRST	Primeiro, escolhe um item para criar.
CUBE_TOOLTIP_PASSIVE_JOB_LEFT_TIME	Tempo restante: {0} - {1} horas
CUBE_USING_ALCHEMY_INFO	A usar %s para criar (%d und.)
CZ_REWARD_QUESTION_COMPLETE	Queres resgatar este espaço?
CZ_REWARD_TOOLTIP_10GAN	Insígnia do Zodíaco
CZ_REWARD_TOOLTIP_10GAN_COUNT	Quantidade no inventário
CZ_REWARD_TOOLTIP_10GAN_NEED_COUNT	Quantidade necessária
CZ_REWARD_TOOLTIP_12ZI	Insígnia do Guardião
CZ_REWARD_TOOLTIP_12ZI_COUNT	Quantidade no inventário
CZ_REWARD_TOOLTIP_12ZI_NEED_COUNT	Quantidade necessária
CZ_REWARD_TOOLTIP_ALL_BOX	Tesouro Astral
CZ_REWARD_TOOLTIP_CAN_GET_ALL_BOX	Clica aqui para recolheres o teu Tesouro Astral como recompensa.
CZ_REWARD_TOOLTIP_CAN_GET_GREEN_BOX	Clica aqui para recolheres o teu Tesouro Aventurino como recompensa.
CZ_REWARD_TOOLTIP_CAN_GET_YELLOW_BOX	Clica aqui para recolheres o teu Tesouro Aureolino como recompensa.
CZ_REWARD_TOOLTIP_COMPLETABLE	Resgatar
CZ_REWARD_TOOLTIP_GREEN_BOX	Tesouro Aventurino
CZ_REWARD_TOOLTIP_GREEN_BOX_COMP_CNT	Tesouros Aventurinos Resgatados: %d
CZ_REWARD_TOOLTIP_WEEKLY	Dia
CZ_REWARD_TOOLTIP_WEEKLY_FRI	Sexta-feira
CZ_REWARD_TOOLTIP_WEEKLY_MON	Segunda-feira
CZ_REWARD_TOOLTIP_WEEKLY_SAT	Sábado
CZ_REWARD_TOOLTIP_WEEKLY_SAT_SUN	Sábado/Domingo
CZ_REWARD_TOOLTIP_WEEKLY_THU	Quinta-feira
CZ_REWARD_TOOLTIP_WEEKLY_TUE	Terça-feira
CZ_REWARD_TOOLTIP_WEEKLY_WED	Quarta-feira
CZ_REWARD_TOOLTIP_YELLOW_BOX	Tesouro Aureolino
CZ_REWARD_TOOLTIP_YELLOW_BOX_COMP_CNT	Tesouros Aureolinos Resgatados: %d
DAY	d
DETAILS_0	Forte contra Metin
DETAILS_1	Frt. vs Semi-Humanos
DETAILS_2	Res. a Semi-Humanos
DETAILS_3	Frt. vs Orcs
DETAILS_4	Frt. vs Mortos-Vivos
DETAILS_5	Frt. vs Monstros
DETAILS_6	Frt. vs Mon. Zodíaco
DETAILS_7	Frt. vs Animais
DETAILS_8	Forte vs Esotéricos
DETAILS_9	Frt. vs Demónios
DETAILS_10	Frt. vs Mon. Deserto
DETAILS_11	Frt. vs Insectos
DETAILS_12	Valor de Ataque
DETAILS_13	Valor de Defesa
DETAILS_14	Dano Médio
DETAILS_15	Res. a Dano Média
DETAILS_16	Dano de Habilidade
DETAILS_17	Resist. Dano de Habilidade
DETAILS_18	Ataque Mágico/CaC
DETAILS_19	Ataque Mágico
DETAILS_20	Prob. Golpe Crítico
DETAILS_21	Golpe Perfurante
DETAILS_22	Res. a Golpe Crítico
DETAILS_23	Res. a Golpe Perf.
DETAILS_24	Res. a Relâmpagos
DETAILS_25	Res. a Gelo
DETAILS_26	Res. a Trevas
DETAILS_27	Res. a Fogo
DETAILS_28	Res. a Vento
DETAILS_29	Res. a Terra
DETAILS_30	Poder dos Raios
DETAILS_31	Poder do Gelo
DETAILS_32	Poder das Trevas
DETAILS_33	Poder do Fogo
DETAILS_34	Poder do Vento
DETAILS_35	Poder da Terra
DETAILS_36	Frt. vs Guerreiros
DETAILS_37	Frt. vs Ninjas
DETAILS_38	Frt. vs Suras
DETAILS_39	Frt. vs Xamãs
DETAILS_40	Frt. vs Lycans
DETAILS_41	Def. vs Guerreiros
DETAILS_42	Def. vs Ninjas
DETAILS_43	Def. vs Suras
DETAILS_44	Def. vs Xamãs
DETAILS_45	Def. vs Lycans
DETAILS_46	Def. vs Espadas
DETAILS_47	Def. vs Duas-Mãos
DETAILS_48	Def. vs Punhais
DETAILS_49	Def. vs Garras
DETAILS_50	Def. vs Campainhas
DETAILS_51	Def. vs Leques
DETAILS_52	Def. vs Flechas
DETAILS_53	Prob. perda sentidos
DETAILS_54	Prob. Abrandamento
DETAILS_55	Prob. Envenenamento
DETAILS_56	Res. a Veneno
DETAILS_57	Atq. de Sangramento
DETAILS_58	Res. Atq. Sangr.
DETAILS_59	Roubo de VD
DETAILS_60	Roubo de MN
DETAILS_61	Recuperação de VD
DETAILS_62	Recuperação de MN
DETAILS_63	Bloqueio de Ataque
DETAILS_64	Evasão Atq. Flecha
DETAILS_65	Reflectir Ataque CaC
DETAILS_66	Recup. VD com Morte
DETAILS_67	Recup. MN com Morte
DETAILS_68	EXP a Dobrar
DETAILS_69	Yang a Dobrar
DETAILS_70	Prob. Queda Itens
DETAILS_71	Valor de Ataque
DETAILS_72	Valor de Defesa
DETAILS_73	EXP
DETAILS_74	Prob. Queda Itens
DETAILS_75	Yang a Dobrar
DETAILS_76	Resistência Mágica
DETAILS_77	Anti-Magia
DETAILS_78	Res. a Monstros
DETAILS_79	Bónus Ataque Mágico
DETAILS_ATTBONUS_BELL	Ruptura de Campainha
DETAILS_ATTBONUS_BOW	Ruptura de Flecha
DETAILS_ATTBONUS_CLAW	Ruptura de Garra
DETAILS_ATTBONUS_DAGGER	Ruptura de Punhais
DETAILS_ATTBONUS_DRAGON	Forte contra Dragões
DETAILS_ATTBONUS_FAN	Ruptura de Leque
DETAILS_ATTBONUS_MOON	Forte contra Monst. S. Lunar
DETAILS_ATTBONUS_SWORD	Ruptura de Espada
DETAILS_ATTBONUS_TWOHAND	Ruptura de Duas Mãos
DETAILS_BLOCK_PENETRATE_PCT	Penetração de Bloqueio
DETAILS_CATE_1	Dano/Defesa
DETAILS_CATE_2	Bónus de Elementos
DETAILS_CATE_3	Bónus de Classe
DETAILS_CATE_4	Bónus de Arma
DETAILS_CATE_5	Outros Bónus
DETAILS_CATE_6	Bónus Especial
DETAILS_CONFUSION_TO_MOB	Confusão
DETAILS_HIT_PCT	Precisão
DETAILS_MYSTERY_DUNGEON	Forte contra Mistérios
DETAILS_REFUSE_EXP	Nenhuma experiência obtida
DETAILS_RESIST_MOUNT_FALL	Resistência a Queda
DETAILS_TITLE	Detalhes
DETAILS_TOOLTIP_0	Forte contra Pedras Metin: inflige mais dano a Pedras Metin.
DETAILS_TOOLTIP_1	Forte contra Semi-Humanos: inflige mais dano a Semi-Humanos.
DETAILS_TOOLTIP_2	Resistência a Semi-Humanos: reduz o dano que sofres de Semi-Humanos.
DETAILS_TOOLTIP_3	Forte contra Orcs: inflige mais dano a Orcs.
DETAILS_TOOLTIP_4	Forte contra Mortos-Vivos: inflige mais dano a Mortos-Vivos.
DETAILS_TOOLTIP_5	Forte contra Monstros: inflige mais dano a Monstros.
DETAILS_TOOLTIP_6	Forte contra Monstros do Zodíaco: inflige mais dano a monstros do Zodíaco.
DETAILS_TOOLTIP_7	Forte contra Animais: inflige mais dano a animais selvagens.
DETAILS_TOOLTIP_8	Forte contra Esotéricos: inflige mais dano a esotéricos.
DETAILS_TOOLTIP_9	Forte contra Demónios: inflige mais dano a Demónios.
DETAILS_TOOLTIP_10	Forte contra Monstros do Deserto: inflige mais dano a monstros do deserto.
DETAILS_TOOLTIP_11	Forte contra Insectos: inflige mais dano a insectos.
DETAILS_TOOLTIP_12	Aumenta o teu Valor de Ataque.
DETAILS_TOOLTIP_13	Aumenta o teu Valor de Defesa.
DETAILS_TOOLTIP_14	Aumenta o dano médio que infliges a inimigos com um ataque.
DETAILS_TOOLTIP_15	Resistência a Dano Médio: reduz o dano que sofres com um ataque.
DETAILS_TOOLTIP_16	Aumenta o dano infligido por uma habilidade.
DETAILS_TOOLTIP_17	Resistência a Dano de Habilidades: reduz o dano que te é infligido por uma habilidade.
DETAILS_TOOLTIP_18	Aumenta tanto o teu Valor de Ataque Físico como o Mágico.
DETAILS_TOOLTIP_19	Aumenta o dano que infliges a inimigos com um ataque mágico.
DETAILS_TOOLTIP_20	Aumenta a probabilidade de desferires um Golpe Crítico.
DETAILS_TOOLTIP_21	Probabilidade de Golpe Perfurante: aumenta a probabilidade de desferires um Golpe Perfurante.
DETAILS_TOOLTIP_22	Resistência a Golpes Críticos: reduz o dano infligido por um Golpe Crítico.
DETAILS_TOOLTIP_23	Resistência a Golpes Perfurantes: reduz o dano infligido por um Golpe Perfurante.
DETAILS_TOOLTIP_24	Reduz o dano que sofres de certos monstros.
DETAILS_TOOLTIP_25	Reduz o dano que sofres de certos monstros.
DETAILS_TOOLTIP_26	Resistência a Trevas: reduz o dano que sofres de certos monstros.
DETAILS_TOOLTIP_27	Reduz o dano que sofres de certos monstros.
DETAILS_TOOLTIP_28	Reduz o dano que sofres de certos monstros.
DETAILS_TOOLTIP_29	Reduz o dano que sofres de certos monstros.
DETAILS_TOOLTIP_30	Aumenta o dano que infliges com o poder dos raios.
DETAILS_TOOLTIP_31	Aumenta o dano que infliges com o poder do gelo.
DETAILS_TOOLTIP_32	Aumenta o dano que infliges com o poder das trevas.
DETAILS_TOOLTIP_33	Aumenta o dano que infliges com o poder do fogo.
DETAILS_TOOLTIP_34	Aumenta o dano que infliges com o poder do vento.
DETAILS_TOOLTIP_35	Aumenta o dano que infliges com o poder da terra.
DETAILS_TOOLTIP_36	Forte contra Guerreiros: inflige mais dano a Guerreiros.
DETAILS_TOOLTIP_37	Forte contra Ninjas: inflige mais dano a Ninjas.
DETAILS_TOOLTIP_38	Forte contra Suras: inflige mais dano a Suras.
DETAILS_TOOLTIP_39	Forte contra Xamãs: inflige mais dano a Xamãs.
DETAILS_TOOLTIP_40	Forte contra Lycans: inflige mais dano a Lycans.
DETAILS_TOOLTIP_41	Defesa contra Ataques de Guerreiros: reduz o dano que sofres de Guerreiros.
DETAILS_TOOLTIP_42	Defesa contra Ataques de Ninjas: reduz o dano que sofres de Ninjas.
DETAILS_TOOLTIP_43	Defesa contra Ataques de Suras: reduz o dano que sofres de Suras.
DETAILS_TOOLTIP_44	Defesa contra Ataques de Xamãs: reduz o dano que sofres de Xamãs.
DETAILS_TOOLTIP_45	Defesa contra Ataques de Lycans: reduz o dano que sofres de Lycans.
DETAILS_TOOLTIP_46	Reduz o dano infligido por uma espada.
DETAILS_TOOLTIP_47	Reduz o dano infligido por uma arma de duas mãos.
DETAILS_TOOLTIP_48	Reduz o dano infligido por uma adaga.
DETAILS_TOOLTIP_49	Reduz o dano infligido por uma garra.
DETAILS_TOOLTIP_50	Reduz o dano infligido por uma campainha.
DETAILS_TOOLTIP_51	Reduz o dano infligido por um leque.
DETAILS_TOOLTIP_52	Reduz o dano infligido por arcos e flechas.
DETAILS_TOOLTIP_53	Aumenta a probabilidade de fazeres um adversário perder os sentidos.
DETAILS_TOOLTIP_54	Aumenta a probabilidade de abrandar um adversário.
DETAILS_TOOLTIP_55	Aumenta a probabilidade de envenenar um adversário.
DETAILS_TOOLTIP_56	Reduz o dano infligido por veneno.
DETAILS_TOOLTIP_57	Aumenta a probabilidade de desferir um ataque de sangramento.
DETAILS_TOOLTIP_58	Resistência contra Ataque de Sangramento: reduz o dano infligido por um Ataque de Sangramento.
DETAILS_TOOLTIP_59	Drena a VD do teu inimigo quando o atinges.
DETAILS_TOOLTIP_60	Drena a MN do teu inimigo quando o atinges.
DETAILS_TOOLTIP_61	Aumenta a recuperação dos teus pontos de vida.
DETAILS_TOOLTIP_62	Aumenta a recuperação dos teus pontos de magia.
DETAILS_TOOLTIP_63	Probabilidade de bloquear um ataque corpo-a-corpo: aumenta a probabilidade de evasão a um ataque corpo-a-corpo.
DETAILS_TOOLTIP_64	Probabilidade de evitar um ataque de flecha: aumenta a probabilidade de evadir um ataque de flecha ou de longo alcance de um monstro.
DETAILS_TOOLTIP_65	Probabilidade de reflectir ataques corpo-a-corpo: parte do dano corpo-a-corpo do inimigo é reflectido de volta contra ele.
DETAILS_TOOLTIP_66	Recuperação de VD ao Matar: os teus pontos de vida aumentam quando matas um inimigo.
DETAILS_TOOLTIP_67	Recuperação de MN ao Matar: os teus pontos de magia aumentam quando matas um inimigo.
DETAILS_TOOLTIP_68	Probabilidade de receber experiência a dobrar: aumenta a probabilidade de um bónus de EXP quando derrotas um inimigo.
DETAILS_TOOLTIP_69	Probabilidade de receber Yang a dobrar: aumenta a probabilidade de receber uma quantidade de Yang a dobrar.
DETAILS_TOOLTIP_70	Probabilidade de Queda de Itens: aumenta a probabilidade de pilhar o dobro da quantidade de itens.
DETAILS_TOOLTIP_71	Aumenta o teu Valor de Ataque.
DETAILS_TOOLTIP_72	Aumenta o teu Valor de Defesa.
DETAILS_TOOLTIP_73	Aumenta a obtenção de experiência.
DETAILS_TOOLTIP_74	Probabilidade de queda de itens: aumenta a probabilidade de pilhares itens.
DETAILS_TOOLTIP_75	Probabilidade de queda de Yang: aumenta a probabilidade de pilhares mais Yang.
DETAILS_TOOLTIP_76	Reduz o dano que sofres com um ataque mágico.
DETAILS_TOOLTIP_77	Reduz a Resistência Mágica do teu inimigo.
DETAILS_TOOLTIP_78	Reduz o dano de monstros.
DETAILS_TOOLTIP_79	Aumenta o Valor de Ataque Mágico.
DETAILS_TOOLTIP_ATTBONUS_BELL	Ruptura de Defesa contra Campainhas: reduz a Defesa contra Campainhas do teu adversário.
DETAILS_TOOLTIP_ATTBONUS_BOW	Ruptura de Defesa contra Flechas: reduz a Defesa contra Flechas do teu adversário.
DETAILS_TOOLTIP_ATTBONUS_CLAW	Ruptura de Defesa contra Garras: reduz a Defesa contra Garras do teu adversário.
DETAILS_TOOLTIP_ATTBONUS_DAGGER	Ruptura de Defesa contra Punhais: reduz a Defesa contra Punhais do teu adversário.
DETAILS_TOOLTIP_ATTBONUS_DRAGON	Inflige mais dano a dragões.
DETAILS_TOOLTIP_ATTBONUS_FAN	Ruptura de Defesa contra Leques: reduz a Defesa contra Leques do teu adversário.
DETAILS_TOOLTIP_ATTBONUS_MOON	Inflige mais dano a monstros da Sombra Lunar.
DETAILS_TOOLTIP_ATTBONUS_SWORD	Ruptura de Defesa contra Espadas: reduz a Defesa contra Espadas do teu adversário.
DETAILS_TOOLTIP_ATTBONUS_TWOHAND	Ruptura de Defesa contra Duas Mãos: reduz a Defesa contra Duas Mãos do teu adversário.
DETAILS_TOOLTIP_BLOCK_PENETRATE_PCT	Tens a probabilidade de infligir dano que ignora o bloqueio do teu inimigo (apenas em PvP).
DETAILS_TOOLTIP_CONFUSION_TO_MOB	Pode fazer com que os monstros fiquem confusos.
DETAILS_TOOLTIP_HIT_PCT	Aumenta a probabilidade de atingir o inimigo
DETAILS_TOOLTIP_MYSTERY_DUNGEON	Forte contra Mistérios: inflige mais dano aos monstros na Masmorra Misteriosa e no Eco Misterioso.
DETAILS_TOOLTIP_REFUSE_EXP	Não irás ganhar nenhuma experiência.
DETAILS_TOOLTIP_RESIST_MOUNT_FALL	Resistência a Queda: reduz a probabilidade de caíres da tua montada.
DONT_USE_ITEM_WHEN_SHOW_CONFIRM	Não podes mover quaisquer itens enquanto um pedido está em progresso.
DO_NOT_INSERT_UPBRINGING_PET	O pet activo não pode ser seleccionado.
DO_YOU_BUY_ITEM1	Queres comprar %s por %s Yang?
DO_YOU_BUY_ITEM2	Queres comprar %s (%s unidades) por %s Yang?
DO_YOU_BUY_ITEM3	Queres comprar %s por %s Won e %s Yang?
DO_YOU_BUY_ITEM4	Queres comprar %s (%s unidades) por %s Won e %s Yang?
DO_YOU_BUY_ITEM_SECONDARY_COIN_1	Queres comprar %s por %s?
DO_YOU_BUY_ITEM_SECONDARY_COIN_2	Queres comprar %s (%s unidades) por %s?
DO_YOU_DROP_MONEY	Queres largar %d Yang?
DO_YOU_SELL_ITEM1	Queres vender %s por %s Yang?
DO_YOU_SELL_ITEM2	Queres vender %s (%s unidades) por %s Yang?
DRAGON_GATE_AUTO_REINFORCE_QUESTION	
DRAGON_GATE_CLEAR	
DRAGON_GATE_CLEAR_NOT_ENOUGH_MAX_REINFORCE	
DRAGON_GATE_CLEAR_QUESTION	
DRAGON_GATE_CLEAR_SELECT	
DRAGON_GATE_CLEAR_TOOLTIP	
DRAGON_GATE_DEFENSE	
DRAGON_GATE_ENCHANT_DARK	
DRAGON_GATE_ENCHANT_EARTH	
DRAGON_GATE_ENCHANT_ELECTRIC	
DRAGON_GATE_ENCHANT_FIRE	
DRAGON_GATE_ENCHANT_ICE	
DRAGON_GATE_ENCHANT_WIND	
DRAGON_GATE_EXPERIENCE	
DRAGON_GATE_HEALTH	
DRAGON_GATE_ITEM_CLEAR	
DRAGON_GATE_ITEM_CLEAR_QUESTION	
DRAGON_GATE_MARK	
DRAGON_GATE_MASTER_STEP_CHECK	
DRAGON_GATE_MY_POINT_TOOLTIP	
DRAGON_GATE_NEED_POINT_TOOLTIP	
DRAGON_GATE_PAEWANG	
DRAGON_GATE_POINT_CLEAR	
DRAGON_GATE_POINT_CLEAR_NOT_ENOUGH_POINT	
DRAGON_GATE_POINT_CLEAR_QUESTION	
DRAGON_GATE_POWER	
DRAGON_GATE_REINFORCE_APPLY_DEFAULT_TOOLTIP	
DRAGON_GATE_REINFORCE_BONUS	
DRAGON_GATE_REINFORCE_BONUS_APPLY	
DRAGON_GATE_REINFORCE_COUNT_TOOLTIP	
DRAGON_GATE_REINFORCE_MAX	
DRAGON_GATE_REINFORCE_NOT_BONUS_APPLY	
DRAGON_GATE_REINFORCE_NOT_BONUS_APPLY2	
DRAGON_GATE_REINFORCE_NOT_ENOUGH_POINT	
DRAGON_GATE_REINFORCE_QUESTION	
DRAGON_GATE_REINFORCE_RESULT	
DRAGON_GATE_REINFORCE_TOOLTIP	
DRAGON_GATE_REINFORCE_TOOLTIP_LINE1	
DRAGON_GATE_REINFORCE_TOOLTIP_LINE2	
DRAGON_GATE_REINFORCE_TOOLTIP_TITLE	
DRAGON_GATE_RESIST_DARK	
DRAGON_GATE_RESIST_EARTH	
DRAGON_GATE_RESIST_ELECTRIC	
DRAGON_GATE_RESIST_FIRE	
DRAGON_GATE_RESIST_ICE	
DRAGON_GATE_RESIST_WIND	
DRAGON_GATE_STEP_CLEAR_INITIALIZE_FIRST	
DRAGON_GATE_STEP_CLEAR_QUESTION_1	
DRAGON_GATE_STEP_CLEAR_QUESTION_2	
DRAGON_GATE_STEP_CLEAR_TOOLTIP	
DRAGON_GATE_STEP_CLEAR_WARNING_QUESTION_1	
DRAGON_GATE_STEP_CLEAR_WARNING_QUESTION_2	
DRAGON_GATE_STEP_UPGRADE_NOT_ENOUGH_POINT	
DRAGON_GATE_STEP_UPGRADE_QUESTION_1	
DRAGON_GATE_STEP_UPGRADE_QUESTION_2	
DRAGON_GATE_STEP_UPGRADE_TOOLTIP	
DRAGON_GATE_SUNGMA_HP	
DRAGON_GATE_SUNGMA_IMMUNE	
DRAGON_GATE_SUNGMA_MOVE	
DRAGON_GATE_SUNGMA_STR	
DRAGON_GATE_TOOLTIP_LINE1	
DRAGON_GATE_TOOLTIP_LINE2	
DRAGON_GATE_TOOLTIP_LINE3	
DRAGON_GATE_TOOLTIP_LINE4	
DRAGON_GATE_TOOLTIP_LINE5	
DRAGON_GATE_TOOLTIP_LINE6	
DRAGON_GATE_TOOLTIP_LINE7	
DRAGON_GATE_TOOLTIP_LINE8	
DRAGON_GATE_TOOLTIP_LINE9	
DRAGON_GATE_TOOLTIP_LINE10	
DRAGON_GATE_TOOLTIP_LINE11	
DRAGON_GATE_TOOLTIP_NOT_ENOUGH_REINFORCE	
DRAGON_GATE_TOOLTIP_TITLE	
DRAGON_GATE_TUGWI	
DRAGON_HEART_CANNOT_EXTRACT_WHEN_EQUIP	Não podes usar as Pinças do Tempo na Pedra do Dragão que tens equipada.
DRAGON_SOUL_CANNOT_EXTRACT_WHILE_CHANGE_ATTR	Não pode ser usada enquanto fazes alterações nos bónus da Pedra do Dragão Mítica.
DRAGON_SOUL_CANNOT_EXTRACT_WHILE_REFINE	Não pode ser usada enquanto melhoras ou aprimoras Pedras do Dragão Míticas.
