ACCE_ABSORB_COST	Kombinálás ára: %d
COMMUNITY_BLOCKED_PARTY_INVITE	Csoport meghívás
COMMUNITY_BLOCKED_PARTY_JOIN	Belépés a csoportba
COMMUNITY_BLOCKED_PARTY_WHISPER	Súgás
COMMUNITY_CANT_ACTION_TIMER	Kérjük, próbáld újra késõbb.
COMMUNITY_CANT_ADD_BLOCK_ANYMORE	Nem blokkolhatsz több játékost (max. %d).
COMMUNITY_CANT_ADD_FRIEND_ANYMORE	Nem lehet több barátod (max. %d).
COMMUNITY_CANT_ADD_FRIEND_SELF	Nem jelölheted önmagad barátnak.
COMMUNITY_CANT_ADD_GM	Nem adhatsz hozzá GM-eket barátként.
COMMUNITY_CANT_BLOCK_FAMILY	Nem blokkolhatod a házastársadat.
COMMUNITY_CANT_BLOCK_FRIEND	Elõbb törölnöd kell a barát listádról õt: %s.
COMMUNITY_CANT_BLOCK_REQUEST_FRIEND	Nem blokkolhatod, akinek barát kérelmet küldtél.
COMMUNITY_CANT_BLOCK_SELF	Nem tudod magadat blokkolni.
COMMUNITY_CANT_REGISTER_NOT_INSURT	Nem használhatsz nem megfelelõ nyelvezetet.
COMMUNITY_CANT_REQUEST_BLOCKED_USER	Elõbb töröld a játékost a blokkoltak listájáról.
COMMUNITY_CANT_REQUEST_DUPLICATE	Kérjük, próbáld újra, mert %s jelenleg nem tud barátokat felvenni.
COMMUNITY_CANT_REQUEST_FRIEND_SELF	Nem jelölheted önmagad barátnak.
COMMUNITY_CANT_REQUEST_SAME_ACCOUNT	Nem jelölheted barátnak a saját fiókod egy másik karakterét.
COMMUNITY_DELETE	Törlés
COMMUNITY_DELETE_BLOCK	%s törlésre került a blokkoltak listájáról.
COMMUNITY_DELETE_BLOCK_FIRST	Elõbb töröld a játékost a blokkoltak listájáról.
COMMUNITY_DELETE_FRIEND	%s törlésre került a barát listádról.
COMMUNITY_DELETE_FRIEND_FIRST	Elõbb törölnöd kell a barát listádról õt: %s.
COMMUNITY_DELETE_REQUEST_LIST_FIRST	Elõbb töröld a játékost a barát kérelmeid közül.
COMMUNITY_INVALID_NAME	Ez a név nem található vagy nem létezik.
COMMUNITY_INVITE_PARTY	Küldtél egy kérelmet, hogy csatlakozz %s csoportjába.
COMMUNITY_LOGIN_MEMBER	%s online.
COMMUNITY_MEMBER_LEVEL	(Lvl. %d)
COMMUNITY_REGISTER_COMMENT	Küldés
COMMUNITY_REGISTER_COMPLETE	Közzétettél egy új üzenetet.
COMMUNITY_REQUESTED_ALREADY	Ennek a játékosnak már küldtél kérelmet.
COMMUNITY_REQUEST_ALARM_AT_LOGIN	Kaptál egy barát kérelmet. Nézd meg a Közösség ablakban.
COMMUNITY_REQUEST_FRIEND	%s barát kérelmet küldött neked.
COMMUNITY_REQUEST_FRIEND_SUCCESS	Küldtél egy barát kérelmet neki: %s.
COMMUNITY_REQUEST_LIST_OVER_MAX	Mivel a barát listád tele van, nem küldhetsz barát kérelmet neki: %s.
COMMUNITY_TARGET_BLOCKED_YOU	%s blokkolt téged.
COMMUNITY_TARGET_EXIST_REQUEST_LIST	Ennek a játékosnak már küldtél kérelmet.
COMMUNITY_TARGET_MAX_FRIEND_COUNT	%s barát listája megtelt. A kérést nem tudod elküldeni.
COMMUNITY_TARGET_REFUSE_REQUEST	%s elutasította a barát kérelmed.
COMMUNITY_TARGET_REQUEST_FRIEND_BLOCK_MODE	A játékos blokkolta a barát kérelmed.
COMMUNITY_TARGET_RUNNING_QUEST	A játékos jelenleg nem tudja elfogadni a barát kérelmed.
CRAFT_INTEGRATE_CRAFTING_QUESTION_1	Biztosan folytatod?
CRAFT_INTEGRATE_CRAFTING_QUESTION_2	%s fejlesztésének megpróbálása %d alkalommal.
CRAFT_INTEGRATE_CRAFTING_QUESTION_3	Siker esélye: %d%%
CRAFT_INTEGRATE_CRAFTING_QUESTION_4	Költség: %s Yang
CRAFT_INTEGRATE_DISMANTLE_ASK_AGAIN_1	Biztosan szét akarod szedni?
CRAFT_INTEGRATE_DISMANTLE_ASK_AGAIN_2	A szétszedett tárgyak nem állíthatók helyre.
CRAFT_INTEGRATE_DISMANTLE_ASK_AGAIN_3	Szétszedés: %s, %d
CRAFT_INTEGRATE_DISMANTLE_ASK_AGAIN_4	Eredmény: %s, %s
CRAFT_INTEGRATE_DISMANTLE_ASK_ATTR_1	Ennek 3 vagy több tulajdonsága van.
CRAFT_INTEGRATE_DISMANTLE_ASK_ATTR_2	Biztosan szét akarod szedni Energia-töredékekké?
CRAFT_INTEGRATE_DISMANTLE_FAIL_ITEM_LIMIT_LEVEL	Csak a 35+ szintû tárgyak szedhetõk szét.
CRAFT_INTEGRATE_DISMANTLE_FAIL_NOT_ALLOWED_UI_OPEN	Ez nem végezhetõ el, amíg egy másik dolog van folyamatban.
CRAFT_INTEGRATE_DISMANTLE_FAIL_PLAYER_LEVEL_NOT_ENOUGH	A 35+ szintû karaktereknek érhetõ el.
CRAFT_INTEGRATE_DISMANTLE_FAIL_WRONG_BEHAVIOR	Ez az akció nem engedélyezett.
CRAFT_INTEGRATE_DISMANTLE_FAIL_WRONG_ITEM	Ez a tárgy nem szedhetõ szét.
CRAFT_INTEGRATE_DISMANTLE_ONLY_INVENTORY	Csak a leltáradban levõ tárgyakat szedheted szét.
CRAFT_INTEGRATE_GEM	Gaya
CRAFT_INTEGRATE_GEM_ICON_TOOLTIP	Gaya
CRAFT_INTEGRATE_GEM_RESULT_SLOT_TOOLTIP	GAYA
CRAFT_INTEGRATE_ITEM_COUNT	[%d]
CRAFT_INTEGRATE_ITEM_INFO	%s (%d%%)
CRAFT_INTEGRATE_MAX_BUTTON_TOOLTIP	MAX
CRAFT_INTEGRATE_MIN_BUTTON_TOOLTIP	MIN
CRAFT_INTEGRATE_ORE	Érc
CRAFT_INTEGRATE_PET_CANNOT_FEED_CRAFT_OPEN	Nem használható tárgy készítés közben.
CRAFT_INTEGRATE_RESULT_GUILD_BUILDING_ACCESS_CHANGED	Ez az épület csak azon céh tagjai számára használható, amelyik céh birtokolja ezt a területet.
CRAFT_INTEGRATE_RESULT_GUILD_BUILDING_CHANGED	Ez az épület csere alatt áll, így nem használható. Kérjük, ellenõrizd újra.
CRAFT_INTEGRATE_RESULT_GUILD_USE_FEE_CHANGED	A használat díja változott. Kérjük, ellenõrizd újra.
CRAFT_INTEGRATE_RESULT_ITEM_INFO	Tárgyat kaptál: %s x%d
CRAFT_INTEGRATE_RESULT_LACK_GEM	Nincs nálad elég Gaya.
CRAFT_INTEGRATE_RESULT_LACK_MATERIAL	Nem tudsz ennyiszer próbálkozni, mert nincs hozzá elegendõ alapanyagod.
CRAFT_INTEGRATE_RESULT_LACK_YANG	Nincs elég Yangod.
CRAFT_INTEGRATE_RESULT_NO_SPACE	Nincs elég hely a leltáradban.
CRAFT_INTEGRATE_RESULT_OVER_GEM_MAX	Már a maximális mennyiségû Gaya van nálad.
CRAFT_INTEGRATE_RESULT_TRY_INFO	%s eredményei: %d siker, %d sikertelen
CRAFT_INTEGRATE_RESULT_TRY_INFO_BIG_SUCCESS	%s eredményei: %d nagy siker, %d siker, %d sikertelen
CRAFT_INTEGRATE_SUCCESS_PCT	Siker esélye: %d%%
CRAFT_INTEGRATE_TITLE_CUBE	Készítés
CRAFT_INTEGRATE_TITLE_REFINE	Fejlesztés
CRAFT_INTEGRATE_TITLE_SMELT	Tökéletesítés
CRAFT_INTEGRATE_YANG_ICON_TOOLTIP	Yang
CREATE_ERROR_GM_NAME	A karakter nevében nem használhatsz 'GM'-et.
CREATE_ERROR_INSULT_NAME	Ez a név nem megengedett.
CREATE_ERROR_LIMIT_LEVEL	Karakterednek legalább 80-as szintûnek kell lennie.
CREATE_ERROR_TIME_LIMIT	Csak egy karaktert tudsz létrehozni 30 másodpercenként.
CREATE_ERROR_WRONG_STRING	Ez a karakternév nem megengedett.
CREATE_EXIST_SAME_NAME	Egy másik karakter viseli már ezt a nevet.
CREATE_FAILURE	Nem hozhatod létre a karaktert.
CREATE_FULL	Nem hozhatsz létre több karaktert.
CREATE_GM_NAME	GM
CREATE_INPUT_NAME	Add meg a nevet.
CREATE_PLUS_STAT	Még vannak szabad státusz pontok.
CUBE_ALCHEMY_BANN_SIGN	Jelenleg semmit sem tehetsz.
CUBE_CATEGORY_ACCESSORY	Ékszer
CUBE_CATEGORY_ALCHEMY	Kovácsrúna
CUBE_CATEGORY_ARMOR	Vért
CUBE_CATEGORY_ARMOR_GLOVE	Kesztyû
CUBE_CATEGORY_BELT	Övek
CUBE_CATEGORY_ETC	Egyéb
CUBE_CATEGORY_EVENT	Rendezvény
CUBE_CATEGORY_JOB	Osztály
CUBE_CATEGORY_MAP	Teljes térképek
CUBE_CATEGORY_PET	Házikedvenc
CUBE_CATEGORY_SETADD_ARMOR	Szett páncél készítése
CUBE_CATEGORY_SETADD_HELMET	Szett sisak készítése
CUBE_CATEGORY_SETADD_WEAPON	Szett fegyver készítése
CUBE_CATEGORY_WEAPON	Fegyver
CUBE_CATEGOR_SKILL_BOOK	Készségkönyv
CUBE_DO_NOT_SAME_ALCHEMY_KINDS	Kérjük, egy megfelelõ típusú Kovácsrúnát használj.
CUBE_FAIL	Az elkészítés sikertelen volt.
CUBE_LIST_TEXT_ITEM_INFO	%s ( %d%% )
CUBE_LIST_TEXT_MAKE_QUANTITY	[%d]
CUBE_MAKE_CONFIRM_QUESTION_1	A felhasznált tárgyak közül legalább egy nagyon értékes (több, mint %d bónusza van).
CUBE_MAKE_CONFIRM_QUESTION_2	Biztosan folytatni akarod?
CUBE_NOT_ENOUGHT_ALCHEMY_COUNT	Nincs nálad %s, így ezt jelenleg nem tudod elkészíteni.
CUBE_NOT_ENOUGH_GEM	Nincs nálad elég Gaya.
CUBE_NOT_ENOUGH_GOLD	Nincs elegendõ Yang az elkészítéséhez.
CUBE_NOT_ENOUGH_MATERIAL	Nincs elég anyagod az elkészítéshez.
CUBE_PLEASE_SELECT	Nem választottál ki tárgyat.
CUBE_SELECT_ITEM_FIRST	Az elkészítéshez elõbb kérjük, válassz egy tárgyat.
CUBE_TOOLTIP_PASSIVE_JOB_LEFT_TIME	Hátralévõ idõ: {0} - {1} óra
CUBE_USING_ALCHEMY_INFO	%s használata a készítéshez (%d db.)
CZ_REWARD_QUESTION_COMPLETE	Szeretnéd beváltani ezt a mezõt?
CZ_REWARD_TOOLTIP_10GAN	Zodiákus jelvény
CZ_REWARD_TOOLTIP_10GAN_COUNT	Számuk a leltárban
CZ_REWARD_TOOLTIP_10GAN_NEED_COUNT	Szükséges mennyiség
CZ_REWARD_TOOLTIP_12ZI	Õrzõ jelvény
CZ_REWARD_TOOLTIP_12ZI_COUNT	Számuk a leltárban
CZ_REWARD_TOOLTIP_12ZI_NEED_COUNT	Szükséges mennyiség
CZ_REWARD_TOOLTIP_ALL_BOX	Asztrális kincs
CZ_REWARD_TOOLTIP_CAN_GET_ALL_BOX	Kattints ide, hogy begyûjtsd az Asztrális kincset jutalomként.
CZ_REWARD_TOOLTIP_CAN_GET_GREEN_BOX	Kattints ide, hogy begyûjtsd az Aventurin kincset jutalomként.
CZ_REWARD_TOOLTIP_CAN_GET_YELLOW_BOX	Kattints ide, hogy begyûjtsd az Aureolin kincset jutalomként.
CZ_REWARD_TOOLTIP_COMPLETABLE	Beváltás
CZ_REWARD_TOOLTIP_GREEN_BOX	Aventurin kincs
CZ_REWARD_TOOLTIP_GREEN_BOX_COMP_CNT	Beváltott Aventurin kincsek: %d
CZ_REWARD_TOOLTIP_WEEKLY	Nap
CZ_REWARD_TOOLTIP_WEEKLY_FRI	Péntek
CZ_REWARD_TOOLTIP_WEEKLY_MON	Hétfõ
CZ_REWARD_TOOLTIP_WEEKLY_SAT	Szombat
CZ_REWARD_TOOLTIP_WEEKLY_SAT_SUN	Szombat/Vasárnap
CZ_REWARD_TOOLTIP_WEEKLY_THU	Csütörtök
CZ_REWARD_TOOLTIP_WEEKLY_TUE	Kedd
CZ_REWARD_TOOLTIP_WEEKLY_WED	Szerda
CZ_REWARD_TOOLTIP_YELLOW_BOX	Aureolin kincs
CZ_REWARD_TOOLTIP_YELLOW_BOX_COMP_CNT	Beváltott Aureolin kincsek: %d
DAY	n
DETAILS_0	Metin elleni erõ
DETAILS_1	Félemberek ell. erõ
DETAILS_2	Félemberek ell. véd.
DETAILS_3	Orkok elleni erõ
DETAILS_4	Élõholtak elleni erõ
DETAILS_5	Szörnyek elleni erõ
DETAILS_6	Zod. szörnyek e. erõ
DETAILS_7	Állatok elleni erõ
DETAILS_8	Ezoterikusok el. erõ
DETAILS_9	Ördögök elleni erõ
DETAILS_10	Siv. szörnyek e. erõ
DETAILS_11	Rovarok elleni erõ
DETAILS_12	Támadóérték
DETAILS_13	Védelmi érték
DETAILS_14	Átlagos kár
DETAILS_15	Átlagos kár ell.
DETAILS_16	Készség kár
DETAILS_17	Készség kár ellenállás
DETAILS_18	Mág./közelharci tám.
DETAILS_19	Mágikus támadás
DETAILS_20	Krit. találat esélye
DETAILS_21	Átható találat
DETAILS_22	Krit. találat ell.
DETAILS_23	Átható találat ell.
DETAILS_24	Villám ellenállás
DETAILS_25	Jég ellenállás
DETAILS_26	Sötétség ellenállás
DETAILS_27	Tûz ellenállás
DETAILS_28	Szél ellenállás
DETAILS_29	Föld ellenállás
DETAILS_30	Villám ereje
DETAILS_31	Jég ereje
DETAILS_32	Sötétség ereje
DETAILS_33	Tûz ereje
DETAILS_34	Szél ereje
DETAILS_35	Föld ereje
DETAILS_36	Harcosok elleni erõ
DETAILS_37	Nindzsák elleni erõ
DETAILS_38	Surák elleni erõ
DETAILS_39	Sámánok elleni erõ
DETAILS_40	Vérfarkasok ell. erõ
DETAILS_41	Harcos védelem
DETAILS_42	Nindzsa védelem
DETAILS_43	Sura védelem
DETAILS_44	Sámán védelem
DETAILS_45	Vérfarkas védelem
DETAILS_46	Kard védelem
DETAILS_47	Kétkezes védelem
DETAILS_48	Tõr védelem
DETAILS_49	Karom védelem
DETAILS_50	Harang védelem
DETAILS_51	Legyezõ védelem
DETAILS_52	Nyíl védelem
DETAILS_53	Ájulási esély
DETAILS_54	Lassítás esélye
DETAILS_55	Mérgezés esélye
DETAILS_56	Méreg ellenállás
DETAILS_57	Vérzõ támadás
DETAILS_58	Vérzõ t. ellenállás
DETAILS_59	TP lopás
DETAILS_60	MP lopás
DETAILS_61	TP helyreállítás
DETAILS_62	MP helyreállítás
DETAILS_63	Támadás kivédése
DETAILS_64	Nyilak elkerülése
DETAILS_65	Fiz. tám. visszav.
DETAILS_66	TP helyreá. öléskor
DETAILS_67	MP helyreá. öléskor
DETAILS_68	Dupla EXP
DETAILS_69	Dupla Yang
DETAILS_70	Dobási esély
DETAILS_71	Támadóérték
DETAILS_72	Védelmi érték
DETAILS_73	EXP
DETAILS_74	Dobási esély
DETAILS_75	Dupla Yang
DETAILS_76	Mágia ellenállás
DETAILS_77	Ellenmágia
DETAILS_78	Szörny ellenállás
DETAILS_79	Mágikus tám. bónusz
DETAILS_ATTBONUS_BELL	Harang v. áttörés
DETAILS_ATTBONUS_BOW	Nyíl v. áttörés
DETAILS_ATTBONUS_CLAW	Karom v. áttörés
DETAILS_ATTBONUS_DAGGER	Tõr v. áttörés
DETAILS_ATTBONUS_DRAGON	Sárkányok elleni erõ
DETAILS_ATTBONUS_FAN	Legyezõ v. áttörés
DETAILS_ATTBONUS_MOON	Holdárnyék szörnyek ell. erõ
DETAILS_ATTBONUS_SWORD	Kard v. áttörés
DETAILS_ATTBONUS_TWOHAND	Kétkezes v. áttörés
DETAILS_BLOCK_PENETRATE_PCT	Blokkolás áthatolás
DETAILS_CATE_1	Sebzés/Védelem
DETAILS_CATE_2	Elementáris bónusz
DETAILS_CATE_3	Karakterosztály bónusz
DETAILS_CATE_4	Fegyver bónusz
DETAILS_CATE_5	Egyéb bónusz
DETAILS_CATE_6	Különleges bónusz
DETAILS_CONFUSION_TO_MOB	Zavarodott
DETAILS_HIT_PCT	Pontosság
DETAILS_MYSTERY_DUNGEON	Titokzatosok elleni erõ
DETAILS_REFUSE_EXP	Nem szerzel tapasztalatot
DETAILS_RESIST_MOUNT_FALL	Esés ellenállás
DETAILS_TITLE	Részletek
DETAILS_TOOLTIP_0	Metinkövek elleni erõ: Nagyobb sebzést okozol a Metinköveknek.
DETAILS_TOOLTIP_1	Nagyobb sebzést okozol a félember típusú ellenfeleknek.
DETAILS_TOOLTIP_2	Félemberek elleni védelem: Csökkenti a félember típusú ellenfelek által okozott sebzést.
DETAILS_TOOLTIP_3	Orkok elleni erõ: Nagyobb sebzést okozol az orkoknak.
DETAILS_TOOLTIP_4	Élõholtak elleni erõ: Nagyobb sebzést okozol az élõholtaknak.
DETAILS_TOOLTIP_5	Nagyobb sebzést okozol a szörnyeknek.
DETAILS_TOOLTIP_6	Zodiákus szörnyek elleni erõ: Nagyobb sebzést okozol a Zodiákus szörnyeknek.
DETAILS_TOOLTIP_7	Nagyobb sebzést okozol a vadállatoknak.
DETAILS_TOOLTIP_8	Ezoterikusok elleni erõ: Nagyobb sebzést okozol az ezoterikusoknak.
DETAILS_TOOLTIP_9	Nagyobb sebzést okozol az ördögöknek.
DETAILS_TOOLTIP_10	Sivatagi szörnyek elleni erõ: Nagyobb sebzést okozol a sivatagi szörnyeknek.
DETAILS_TOOLTIP_11	Rovarok elleni erõ: Nagyobb sebzést okozol a rovaroknak.
DETAILS_TOOLTIP_12	Megnöveli támadóértéked.
DETAILS_TOOLTIP_13	Megnöveli védelmi értéked.
DETAILS_TOOLTIP_14	Növeli az átlagos károkat, amit az ellenségeidnek okozol támadáskor.
DETAILS_TOOLTIP_15	Csökkenti a támadásban elszenvedett sebzéseidet.
DETAILS_TOOLTIP_16	Megnöveli a készségek által okozott sebzést.
DETAILS_TOOLTIP_17	Csökkenti a készségek által elszenvedett sebzéseidet.
DETAILS_TOOLTIP_18	Növeli a fizikai és mágikus támadó értékedet is.
DETAILS_TOOLTIP_19	Növeli a mágikus támadásokkal okozott sebzésed.
DETAILS_TOOLTIP_20	Növeli a kritikus találat bevitelének esélyét.
DETAILS_TOOLTIP_21	Növeli az átható találat bevitelének esélyét.
DETAILS_TOOLTIP_22	Kritikus találat ellenállás: Csökkenti a kritikus találatokból származó sebzést.
DETAILS_TOOLTIP_23	Átható találat ellenállás: Csökkenti az átható találatokból származó sebzést.
DETAILS_TOOLTIP_24	Csökkenti bizonyos szörnyek által okozott sebzést.
DETAILS_TOOLTIP_25	Csökkenti bizonyos szörnyek által okozott sebzést.
DETAILS_TOOLTIP_26	Csökkenti bizonyos szörnyek által okozott sebzést.
DETAILS_TOOLTIP_27	Csökkenti bizonyos szörnyek által okozott sebzést.
DETAILS_TOOLTIP_28	Csökkenti bizonyos szörnyek által okozott sebzést.
DETAILS_TOOLTIP_29	Csökkenti bizonyos szörnyek által okozott sebzést.
DETAILS_TOOLTIP_30	Növeli a sebzést, amit a villám erejével okozol.
DETAILS_TOOLTIP_31	Növeli a sebzést, amit a jég erejével okozol.
DETAILS_TOOLTIP_32	Növeli a sebzést, amit a sötétség erejével okozol.
DETAILS_TOOLTIP_33	Növeli a sebzést, amit a tûz erejével okozol.
DETAILS_TOOLTIP_34	Növeli a sebzést, amit a szél erejével okozol.
DETAILS_TOOLTIP_35	Növeli a sebzést, amit a föld erejével okozol.
DETAILS_TOOLTIP_36	Harcosok elleni erõ: Nagyobb sebzést okozol a harcosoknak.
DETAILS_TOOLTIP_37	Nindzsák elleni erõ: Nagyobb sebzést okozol a nindzsáknak.
DETAILS_TOOLTIP_38	Surák elleni erõ: Nagyobb sebzést okozol a suráknak.
DETAILS_TOOLTIP_39	Sámánok elleni erõ: Nagyobb sebzést okozol a sámánoknak.
DETAILS_TOOLTIP_40	Vérfarkasok elleni erõ: Nagyobb sebzést okozol a vérfarkasoknak.
DETAILS_TOOLTIP_41	Védekezési esély harcos támadás ellen: Csökkenti a harcosok által neked okozott sebzést.
DETAILS_TOOLTIP_42	Védekezési esély nindzsa támadás ellen: Csökkenti a nindzsák által neked okozott sebzést.
DETAILS_TOOLTIP_43	Védekezési esély sura támadás ellen: Csökkenti a surák által neked okozott sebzést.
DETAILS_TOOLTIP_44	Védekezési esély sámán támadás ellen: Csökkenti a sámánok által neked okozott sebzést.
DETAILS_TOOLTIP_45	Védekezési esély vérfarkas támadás ellen: Csökkenti a vérfarkasok által neked okozott sebzést.
DETAILS_TOOLTIP_46	Csökkenti a kardok által okozott sérüléseket.
DETAILS_TOOLTIP_47	Csökkenti a kétkezes fegyverek által okozott sérüléseket.
DETAILS_TOOLTIP_48	Csökkenti a tõrök által okozott sérüléseket.
DETAILS_TOOLTIP_49	Csökkenti a karmok által okozott sérüléseket.
DETAILS_TOOLTIP_50	Csökkenti a harangok által okozott sérüléseket.
DETAILS_TOOLTIP_51	Csökkenti a legyezõk által okozott sérüléseket.
DETAILS_TOOLTIP_52	Csökkenti az íjak és nyilak által okozott sérüléseket.
DETAILS_TOOLTIP_53	Növeli az esélyét, hogy az ellenfél elájuljon.
DETAILS_TOOLTIP_54	Növeli az esélyt az ellenfél lelassítására.
DETAILS_TOOLTIP_55	Növeli az esélyt az ellenfél megmérgezésére.
DETAILS_TOOLTIP_56	Csökkenti a méreg által okozott sebzést.
DETAILS_TOOLTIP_57	Növeli az esélyt vérzõ támadás bevitelére.
DETAILS_TOOLTIP_58	Vérzõ támadás ellenállás: Csökkenti a vérzõ támadás által okozott sebzést.
DETAILS_TOOLTIP_59	Elszívja az ellenfeled TP-jét, amikor eltalálod.
DETAILS_TOOLTIP_60	Elszívja az ellenfeled MP-jét, amikor eltalálod.
DETAILS_TOOLTIP_61	Növeli az életerõ pontjaid helyreállítását.
DETAILS_TOOLTIP_62	Növeli a mana pontjaid helyreállítását.
DETAILS_TOOLTIP_63	Esély közelharci támadás kivédésre: Növeli az esélyt közelharci támadás kivédésére.
DETAILS_TOOLTIP_64	Növeli az esélyt nyilak és szörnyek általi távolsági támadások elkerülésére.
DETAILS_TOOLTIP_65	Esély közelharci találatok visszaverésére: Az ellenfél közelharci támadásainak egy része visszaverõdik rá.
DETAILS_TOOLTIP_66	Az életerõ pontjaid növekednek, amikor megölsz egy ellenséget.
DETAILS_TOOLTIP_67	A mana pontjaid növekednek, amikor megölsz egy ellenséget.
DETAILS_TOOLTIP_68	Esély dupla tapasztalati pont szerzésére: Növeli az EXP bónusz esélyét, amikor legyõzöl egy ellenfelet.
DETAILS_TOOLTIP_69	Esély dupla mennyiségû Yang eldobására: Növeli az esélyét, hogy kétszer annyi Yangot kapj.
DETAILS_TOOLTIP_70	Esély tárgy dobásra: Növeli az esélyét, hogy kétszer annyi tárgyat zsákmányolj.
DETAILS_TOOLTIP_71	Megnöveli támadóértéked.
DETAILS_TOOLTIP_72	Megnöveli védelmi értéked.
DETAILS_TOOLTIP_73	Megnöveli a tapasztalat gyûjtését.
DETAILS_TOOLTIP_74	Tárgydobási esély: Növeli a tárgyak zsákmányolásának esélyét.
DETAILS_TOOLTIP_75	Yang eldobási esély: Növeli az esélyét, hogy több Yangot zsákmányolj.
DETAILS_TOOLTIP_76	Csökkenti a mágikus támadásoktól elszenvedett sebzést.
DETAILS_TOOLTIP_77	Csökkenti az ellenfeled mágia ellenállását.
DETAILS_TOOLTIP_78	Csökkenti a szörnyektõl kapott sebzést.
DETAILS_TOOLTIP_79	Növeli a mágikus támadóértéket.
DETAILS_TOOLTIP_ATTBONUS_BELL	Harang védelem áttörés: Csökkenti ellenfeled harang védelmét.
DETAILS_TOOLTIP_ATTBONUS_BOW	Nyíl védelem áttörés: Csökkenti ellenfeled nyíl védelmét.
DETAILS_TOOLTIP_ATTBONUS_CLAW	Karom védelem áttörés: Csökkenti ellenfeled karom védelmét.
DETAILS_TOOLTIP_ATTBONUS_DAGGER	Tõr védelem áttörés: Csökkenti ellenfeled tõr védelmét.
DETAILS_TOOLTIP_ATTBONUS_DRAGON	Nagyobb sebzést okoz a sárkányoknak.
DETAILS_TOOLTIP_ATTBONUS_FAN	Legyezõ védelem áttörés: Csökkenti ellenfeled legyezõ védelmét.
DETAILS_TOOLTIP_ATTBONUS_MOON	Nagyobb sebzést ad a Holdárnyék szörnyek ellen.
DETAILS_TOOLTIP_ATTBONUS_SWORD	Kard védelem áttörés: Csökkenti ellenfeled kard védelmét.
DETAILS_TOOLTIP_ATTBONUS_TWOHAND	Kétkezes védelem áttörés: Csökkenti ellenfeled kétkezes védelmét.
DETAILS_TOOLTIP_BLOCK_PENETRATE_PCT	Esélyt ad sebzést bevinni az ellenség blokkolásának figyelmen kívül hagyásával (csak PvP-ben).
DETAILS_TOOLTIP_CONFUSION_TO_MOB	Ettõl zavarodottá válhatnak a szörnyek.
DETAILS_TOOLTIP_HIT_PCT	Növeli az esélyt az ellenség eltalálására
DETAILS_TOOLTIP_MYSTERY_DUNGEON	Titokzatosok elleni erõ: Több sebzést okoz a Titokzatos kazamatában és a Titokzatos visszhangban levõ szörnyeknek.
DETAILS_TOOLTIP_REFUSE_EXP	Nem fogsz tapasztalatot szerezni.
DETAILS_TOOLTIP_RESIST_MOUNT_FALL	Esés ellenállás: Csökkenti az esélyét, hogy leess a hátasodról.
DONT_USE_ITEM_WHEN_SHOW_CONFIRM	Nem mozgathatsz tárgyakat, amikor egy kérelem folyamatban van.
DO_NOT_INSERT_UPBRINGING_PET	Az elõhívott házikedvenc nem választható ki.
DO_YOU_BUY_ITEM1	Szeretnél %s-t vásárolni %s Yangért?
DO_YOU_BUY_ITEM2	Szeretnél vásárolni %s-t (%s darab) %s Yangért?
DO_YOU_BUY_ITEM3	Szeretnél vásárolni %s-t %s Wonért és %s Yangért?
DO_YOU_BUY_ITEM4	Szeretnél vásárolni %s-t (%s darab) %s Wonért és %s Yangért?
DO_YOU_BUY_ITEM_SECONDARY_COIN_1	Szeretnél %s-t vásárolni %s-ért?
DO_YOU_BUY_ITEM_SECONDARY_COIN_2	Szeretnél %s-t (%s darab) vásárolni %s-ért?
DO_YOU_DROP_MONEY	Szeretnél %d Yangot eldobni?
DO_YOU_SELL_ITEM1	Szeretnél %s-t %s Yangért eladni?
DO_YOU_SELL_ITEM2	Szeretnél eladni %s-t (%s darab) %s Yangért?
DRAGON_GATE_AUTO_REINFORCE_QUESTION	
DRAGON_GATE_CLEAR	
DRAGON_GATE_CLEAR_NOT_ENOUGH_MAX_REINFORCE	
DRAGON_GATE_CLEAR_QUESTION	
DRAGON_GATE_CLEAR_SELECT	
DRAGON_GATE_CLEAR_TOOLTIP	
DRAGON_GATE_DEFENSE	
DRAGON_GATE_ENCHANT_DARK	
DRAGON_GATE_ENCHANT_EARTH	
DRAGON_GATE_ENCHANT_ELECTRIC	
DRAGON_GATE_ENCHANT_FIRE	
DRAGON_GATE_ENCHANT_ICE	
DRAGON_GATE_ENCHANT_WIND	
DRAGON_GATE_EXPERIENCE	
DRAGON_GATE_HEALTH	
DRAGON_GATE_ITEM_CLEAR	
DRAGON_GATE_ITEM_CLEAR_QUESTION	
DRAGON_GATE_MARK	
DRAGON_GATE_MASTER_STEP_CHECK	
DRAGON_GATE_MY_POINT_TOOLTIP	
DRAGON_GATE_NEED_POINT_TOOLTIP	
DRAGON_GATE_PAEWANG	
DRAGON_GATE_POINT_CLEAR	
DRAGON_GATE_POINT_CLEAR_NOT_ENOUGH_POINT	
DRAGON_GATE_POINT_CLEAR_QUESTION	
DRAGON_GATE_POWER	
DRAGON_GATE_REINFORCE_APPLY_DEFAULT_TOOLTIP	
DRAGON_GATE_REINFORCE_BONUS	
DRAGON_GATE_REINFORCE_BONUS_APPLY	
DRAGON_GATE_REINFORCE_COUNT_TOOLTIP	
DRAGON_GATE_REINFORCE_MAX	
DRAGON_GATE_REINFORCE_NOT_BONUS_APPLY	
